price,baths,rooms,sqft,address
1920000,3,3,183,Recoletos
1995000,3,3,170,Castellana
1300000,3,4,270,Hortaleza
1650000,3,3,248,Chamartín
1590750,3,3,116,Recoletos
1590000,4,5,360,Cuatro Caminos
5700000,5,4,305,Recoletos
2190000,4,4,183,Goya
1190000,2,2,112,Goya
675000,2,3,153,Aravaca
3950000,5,4,291,Recoletos
752248,2,3,132,Sol
995000,3,3,160,Bernabéu-Hispanoamérica
1295000,3,4,229,Vallehermoso
3900000,5,5,284,Castellana
1175000,3,3,178,Huertas-Cortes
1075000,3,3,169,Chamberí
1970000,4,4,283,Bernabéu-Hispanoamérica
4950000,7,6,886,Nueva España
1800000,4,3,214,Huertas-Cortes
990000,4,5,292,Aravaca
1650000,5,5,367,Conde Orgaz-Piovera
7900000,5,4,473,Castellana
2450000,3,4,261,Chueca-Justicia
1850000,5,5,306,Argüelles
1255000,3,3,153,Nuevos Ministerios-Ríos Rosas
1850000,5,5,438,Hortaleza
780000,2,2,117,Centro
1200000,4,4,300,Moncloa
1125000,3,3,173,Retiro
1200000,4,5,240,Moncloa
2300000,3,4,242,Barrio de Salamanca
698000,2,2,108,Barrio de Salamanca
1237000,7,8,485,Peñagrande
1625000,5,6,450,Mirasierra
470000,2,3,95,Fuencarral
475000,2,3,112,Comillas
1950000,4,3,175,Centro
950000,3,3,154,Chamartín
750000,3,5,156,Argüelles
1500000,2,2,168,Chamartín
2100000,7,6,334,Chamartín
5500000,6,7,1150,Hortaleza
930000,4,5,265,Moncloa
710000,2,3,127,Malasaña-Universidad
730000,2,2,125,Nueva España
1300000,4,3,133,Recoletos
380000,1,3,75,Palos de Moguer
1900000,4,6,372,Hortaleza
720000,2,3,212,San Blas
1400000,2,4,236,Prosperidad
1100000,3,3,160,Bernabéu-Hispanoamérica
1370000,5,4,248,Moncloa
3000000,5,4,269,Bernabéu-Hispanoamérica
575000,2,3,105,Chamartín
1200000,2,2,124,Retiro
1950000,6,6,488,Moncloa
325000,1,2,76,Bellas Vistas
1100000,3,5,199,Bernabéu-Hispanoamérica
550000,1,2,97,Niño Jesús
675000,2,1,91,El Viso
1050000,4,6,259,Barrio de Salamanca
2800000,5,5,452,Conde Orgaz-Piovera
2600000,3,4,247,Recoletos
320000,1,2,52,Palacio
530000,2,3,93,Palos de Moguer
550000,2,3,112,Palacio
780000,1,2,102,Lista
1080000,2,4,200,Ciudad Lineal
238000,1,2,51,Lavapiés-Embajadores
557000,2,3,91,Retiro
2275000,4,5,399,El Viso
1175000,5,5,360,Salvador
2300000,3,3,237,El Viso
1400000,4,3,125,Castellana
750000,2,2,101,Barrio de Salamanca
1250000,5,4,367,San Blas
2800000,3,4,201,Almagro
795000,3,4,175,Fuente del Berro
750000,2,4,146,Centro
425000,1,2,69,Gaztambide
560000,2,5,148,Acacias
1080000,2,2,101,Palacio
1420000,2,2,107,Malasaña-Universidad
233000,1,1,40,Ciudad Lineal
590000,2,3,143,Fuente del Berro
850000,2,3,145,Arapiles
1650000,5,5,300,Hortaleza
800000,3,5,213,Guindalera
850000,1,4,139,Chamberí
875000,5,7,348,Moncloa
330000,1,2,60,Chueca-Justicia
1395000,6,5,368,Fuencarral
529900,1,2,88,Centro
3500000,6,5,1525,Moncloa
1435000,6,6,388,Fuencarral
2950000,8,7,580,Moncloa
695000,2,2,141,Centro
1538000,6,8,605,Hortaleza
2800000,5,5,780,Moncloa
1450000,4,5,258,Moncloa
3550000,9,8,720,Ciudad Universitaria
2575000,4,4,215,Centro
859000,3,3,133,Lavapiés-Embajadores
1095000,3,3,188,Hortaleza
880000,2,5,164,Puerta del Ángel
910000,4,5,207,Ventilla-Almenara
839000,2,2,106,Huertas-Cortes
1625000,5,6,443,Mirasierra
1049000,2,3,158,Almagro
599000,2,2,107,Cuatro Caminos
1650000,5,4,360,Hortaleza
850000,2,3,135,Ciudad Lineal
1290000,4,4,234,Moncloa
2500000,5,6,306,Almagro
1190000,4,5,231,Moncloa
560000,2,3,74,Nuevos Ministerios-Ríos Rosas
695000,2,2,262,Lavapiés-Embajadores
1790000,4,5,414,Peñagrande
979000,2,3,154,Acacias
840000,3,4,254,Moncloa
3200000,5,7,410,Chamartín
